start,end
73,56
73,65
73,72
73,73
73,76
73,79
73,80
73,92
74,6
74,10
74,14
74,16
74,18
74,24
74,34
74,40
74,44
74,45
74,52
74,53
74,65
74,72
74,73
74,79
74,81
74,98
75,45
76,1
76,3
76,6
76,7
76,14
76,16
76,19
76,44
76,45
76,52
76,53
76,55
76,56
76,65
76,79
76,82
76,86
76,90
76,98
77,1
77,6
77,14
77,45
77,52
77,53
77,55
77,61
77,72
77,76
77,79
77,86
77,91
77,92
78,6
78,10
78,11
78,14
78,16
78,22
78,34
78,39
78,48
78,49
78,53
78,55
78,60
78,72
78,73
78,79
78,80
78,81
78,87
78,92
78,95
78,99
79,6
79,10
79,14
79,16
79,34
79,44
79,48
79,53
79,55
79,56
79,57
79,60
79,79
79,80
79,90
79,91
79,98
80,1
80,6
80,10
80,14
80,16
80,27
80,45
80,48
80,49
80,55
80,57
80,58
80,61
80,72
80,79
80,86
80,87
80,91
80,92
80,97
80,98
81,6
81,14
81,17
81,24
81,38
81,44
81,45
81,52
81,53
81,55
81,58
81,63
81,72
81,73
81,74
81,79
81,86
81,90
81,91
81,92
81,98
82,1
82,2
82,5
82,6
82,17
82,38
82,44
82,45
82,48
82,49
82,52
82,53
82,74
82,79
82,86
82,91
82,92
83,2
83,3
83,14
83,16
83,20
83,24
83,39
83,48
83,49
83,72
83,79
83,80
83,81
83,90
83,91
83,99
84,6
84,7
84,14
84,16
84,17
84,24
84,38
84,39
84,48
84,49
84,53
84,56
84,72
84,79
84,86
84,91
84,92
84,99
85,6
85,10
85,14
85,16
85,19
85,24
85,36
85,44
85,45
85,48
85,53
85,55
85,70
85,72
85,73
85,76
85,79
85,80
85,86
85,91
87,2
87,5
87,6
87,14
87,16
87,17
87,19
87,38
87,44
87,45
87,48
87,53
87,64
87,70
87,72
87,73
87,76
87,79
87,80
87,82
87,86
87,92
88,10
88,17
88,24
88,38
88,39
88,45
88,48
88,53
88,56
88,62
88,63
88,64
88,72
88,73
88,74
88,81
88,86
88,91
88,96
89,6
89,7
89,12
89,14
89,16
89,44
89,45
89,52
89,53
89,56
89,72
89,73
89,78
89,79
89,86
89,90
89,92
89,98
89,99
90,5
90,6
90,14
90,17
90,24
90,34
90,44
90,45
90,48
90,60
90,63
90,65
90,72
90,73
90,74
90,81
90,90
90,91
90,92
90,97
91,6
91,10
91,11
91,14
91,17
91,36
91,39
91,41
91,44
91,45
91,48
91,53
91,55
91,56
91,61
91,64
91,72
91,79
91,86
91,91
91,92
91,97
92,45
93,5
93,10
93,11
93,14
93,20
93,24
93,38
93,39
93,45
93,48
93,49
93,52
93,53
93,56
93,73
93,79
93,86
93,94
93,97
94,1
94,5
94,7
94,10
94,14
94,16
94,20
94,45
94,49
94,52
94,53
94,55
94,56
94,57
94,73
94,79
94,80
94,85
94,86
94,92
94,99
95,6
95,14
95,16
95,19
95,24
95,44
95,45
95,48
95,52
95,53
95,65
95,70
95,73
95,91
95,95
95,96
95,99
96,5
96,6
96,10
96,14
96,16
96,24
96,38
96,53
96,56
96,58
96,62
96,79
96,86
96,91
96,92
96,94
96,97
97,1
97,6
97,10
97,14
97,16
97,17
97,24
97,35
97,36
97,39
97,44
97,45
97,48
97,53
97,55
97,56
97,61
97,86
97,91
97,92
98,5
98,6
98,11
98,14
98,16
98,39
98,45
98,48
98,53
98,56
98,61
98,72
98,79
98,86
98,91
98,92
98,97
98,99
99,1
99,5
99,10
99,14
99,16
99,48
99,53
99,56
99,58
99,76
99,79
99,80
99,86
99,91
99,92
99,97
99,98
99,99
