start,end
37,52
37,56
37,57
37,59
38,2
38,3
38,6
38,10
38,11
38,14
38,18
38,20
38,21
38,24
38,25
38,27
38,28
38,35
38,36
38,38
38,41
38,43
38,44
38,49
38,53
38,56
38,57
38,59
39,15
39,20
39,24
39,28
39,33
39,37
39,39
39,42
39,44
39,45
40,0
40,5
40,9
40,11
40,15
40,19
40,20
40,21
40,22
40,23
40,28
40,31
40,32
40,33
40,35
40,37
40,40
40,41
40,42
40,44
40,51
40,52
40,56
40,59
41,11
41,15
41,17
41,19
41,21
41,22
41,23
41,24
41,28
41,31
41,33
41,36
41,37
41,39
41,40
41,41
41,44
41,48
41,51
41,52
41,53
41,56
41,57
41,59
42,2
42,5
42,6
42,20
42,32
42,36
42,37
42,44
42,59
43,15
43,24
43,36
44,11
44,15
44,19
44,21
44,22
44,23
44,24
44,28
44,31
44,33
44,35
44,36
44,37
44,39
44,41
44,44
44,45
44,48
44,51
44,52
44,56
44,57
44,59
45,20
45,24
45,27
45,32
45,36
45,45
46,5
46,32
47,11
47,17
47,18
47,19
47,20
47,21
47,22
47,28
47,31
47,33
47,35
47,36
47,37
47,40
47,41
47,42
47,44
47,45
47,48
47,51
47,52
47,56
47,57
47,58
48,3
48,11
48,15
48,19
48,20
48,21
48,22
48,31
48,33
48,35
48,36
48,37
48,38
48,41
48,44
48,48
48,51
48,52
48,56
48,57
48,59
49,1
49,2
49,3
49,5
49,6
49,10
49,11
49,14
49,18
49,20
49,21
49,22
49,24
49,25
49,27
49,32
49,33
49,35
49,38
49,40
49,41
49,42
49,45
49,51
49,52
49,53
49,56
49,57
49,58
49,59
50,15
50,24
50,43
51,9
51,11
51,15
51,19
51,21
51,22
51,23
51,28
51,31
51,33
51,35
51,36
51,37
51,39
51,40
51,41
51,44
51,48
51,51
51,52
51,57
52,9
52,11
52,15
52,19
52,20
52,21
52,22
52,23
52,31
52,33
52,35
52,37
52,39
52,41
52,44
52,48
52,51
52,52
52,56
52,57
52,59
53,2
53,3
53,6
53,8
53,10
53,11
53,15
53,18
53,20
53,21
53,22
53,24
53,25
53,28
53,32
53,33
53,35
53,36
53,37
53,38
53,41
53,42
53,43
53,44
53,49
53,51
53,52
53,53
53,57
53,59
55,0
55,1
55,2
55,5
55,6
55,10
55,11
55,14
55,18
55,20
55,24
55,25
55,28
55,32
55,33
55,36
55,37
55,38
55,41
55,42
55,43
55,49
55,53
55,56
55,57
55,59
56,5
56,24
56,32
57,3
57,5
57,6
57,10
57,11
57,14
57,15
57,18
57,24
57,25
57,32
57,36
57,38
57,41
57,49
57,56
57,57
57,59
58,2
58,3
58,6
58,10
58,11
58,14
58,15
58,18
58,20
58,21
58,22
58,24
58,25
58,27
58,28
58,33
58,35
58,36
58,37
58,38
58,41
58,42
58,43
58,52
58,53
58,56
58,57
58,59
59,2
59,3
59,6
59,10
59,11
59,15
59,20
59,21
59,22
59,24
59,25
59,28
59,35
59,36
59,37
59,38
59,40
59,41
59,42
59,43
59,44
59,45
59,49
59,51
59,52
59,53
59,56
59,57
59,59
